ID	G85432	G85433	G85434	G85435	G85436	G85437	G85438	G85439	G85440	G85441	G85442	G85443	G85444	G85445	G85446	G85447	G85448	G85449	G85450	G85451	G85452	G85453	G85454	G85455	G85456	G85457	G85458	G85459	G85460	G85461	G85462	G85463	G85464	G85465	G85466	G85467	G85468	G85469	G85470	G85471	G85472	G85473	G85474	G85475	G85476	G85477	G85478	G85479	G85480	G85481	G85482	G85483	G85484	G85485	G85486	G85487	G85488	G85489	G90607
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.05972	0.0	0.80813	0.11758	0.06895	1.16685	0.31772	0.0	0.65827	0.06686	0.11965	0.93057	0.11797	0.00304	0.70492	0.07145	0.56623	0.0	1.38823	4.10791	0.39365	1.07191	0.48598	0.41297	0.15843	0.19671	3.69945	0.01117	1.32618	0.01688	0.06761	0.14338	0.22905	0.37983	0.00679	0.07056	0.62258	0.83408	0.71967	0.03968	0.14093	0.01432	1.16591	0.57581	0.02554	0.0	0.09215	0.01987	0.04894	0.00263	0.0	2.58386	1.14045	0.0	0.33702	2.82311	0.03631	3.36445	0.02352
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0.05972	0.0	0.80813	0.11758	0.06895	1.16685	0.31772	0.0	0.65827	0.06686	0.11965	0.93057	0.11797	0.00304	0.70492	0.07145	0.56623	0.0	1.38823	4.10791	0.39365	1.07191	0.48598	0.41297	0.15843	0.19671	3.69945	0.01117	1.32618	0.01688	0.06761	0.14338	0.22905	0.37983	0.00679	0.07056	0.62258	0.83408	0.71967	0.03968	0.14093	0.01432	1.16591	0.57581	0.02554	0.0	0.09215	0.01987	0.04894	0.00263	0.0	2.58386	1.14045	0.0	0.33702	2.82311	0.03631	3.36445	0.02352
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	0.02563	0.0	0.02132	0.0	0.04561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41088	0.0	0.0	0.0	0.02524	0.0	0.08897	0.01768	0.02552	0.04495	0.0	0.02703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19705	0.0	0.0	0.0	0.56626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67623	0.58611	0.0	0.0	1.24761	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis|t__Bifidobacterium_adolescentis_unclassified	0.02563	0.0	0.02132	0.0	0.04561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41088	0.0	0.0	0.0	0.02524	0.0	0.08897	0.01768	0.02552	0.04495	0.0	0.02703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19705	0.0	0.0	0.0	0.56626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67623	0.58611	0.0	0.0	1.24761	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00574	0.0	0.0	0.0	0.0	0.0	0.11482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis|t__Bifidobacterium_animalis_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00574	0.0	0.0	0.0	0.0	0.0	0.11482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	0.03195	0.0	0.69316	0.0	0.01562	0.0	0.0	0.0	0.65827	0.06686	0.0	0.0	0.0	0.0	0.0	0.07145	0.0	0.0	0.03265	0.0	0.22266	0.52128	0.0	0.26838	0.0	0.02039	0.81211	0.0	0.00069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10265	0.0	0.0	0.0	0.0	0.0	0.21811	0.0	0.0	0.0	0.04645	0.0	0.0	0.0	0.0	0.31007	0.013	0.0	0.0	0.22994	0.0	0.0	0.01457
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum|t__Bifidobacterium_bifidum_unclassified	0.03195	0.0	0.69316	0.0	0.01562	0.0	0.0	0.0	0.65827	0.06686	0.0	0.0	0.0	0.0	0.0	0.07145	0.0	0.0	0.03265	0.0	0.22266	0.52128	0.0	0.26838	0.0	0.02039	0.81211	0.0	0.00069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10265	0.0	0.0	0.0	0.0	0.0	0.21811	0.0	0.0	0.0	0.04645	0.0	0.0	0.0	0.0	0.31007	0.013	0.0	0.0	0.22994	0.0	0.0	0.01457
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve	0.0	0.0	0.0	0.0	0.0	0.0	0.23411	0.0	0.0	0.0	0.0	0.93057	0.0	0.0	0.0	0.0	0.0	0.0	0.81935	0.00112	0.0	0.42545	0.0499	0.0	0.0	0.12279	2.88733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00281	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve|t__Bifidobacterium_breve_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.23411	0.0	0.0	0.0	0.0	0.93057	0.0	0.0	0.0	0.0	0.0	0.0	0.81935	0.00112	0.0	0.42545	0.0499	0.0	0.0	0.12279	2.88733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00281	0.0	0.0
